Filename,Eqname,Type,Support points,Iterations,MSE,R^2,,diffusivity,mu,alpha,beta,gamma,lambda_term,S,D,phi
1133_3_laser@30sec006.nd2,LinearDiffusivityPDE,vanilla,1109.000000,113.000000,0.037082,0.774944,,1280.209916,0.002864,,,,,,,
1133_3_laser@30sec007.nd2,LinearDiffusivityPDE,vanilla,1084.000000,81.000000,0.009746,0.684218,,1447.058964,0.000725,,,,,,,
1133_3_laser@30sec008.nd2,LinearDiffusivityPDE,vanilla,1105.000000,84.000000,0.177114,-1.901514,,527.818062,0.004357,,,,,,,
1472_4_laser@30sec001.nd2,LinearDiffusivityPDE,vanilla,1113.000000,46.000000,0.045210,0.484708,,165.794559,-0.000311,,,,,,,
1472_4_laser@30sec002.nd2,LinearDiffusivityPDE,vanilla,1094.000000,99.000000,0.067796,0.360340,,1165.037381,0.000565,,,,,,,
1472_4_laser@30sec003.nd2,LinearDiffusivityPDE,vanilla,1090.000000,87.000000,0.127710,0.033065,,1999.968581,0.000236,,,,,,,
1472_4_laser@30sec004.nd2,LinearDiffusivityPDE,vanilla,1085.000000,99.000000,0.035410,0.633877,,505.654265,0.000195,,,,,,,
super_1472_5_laser_EC1flow_laserabl010.nd2,LinearDiffusivityPDE,vanilla,716.000000,122.000000,0.085131,-0.088028,,1067.674909,-0.022870,,,,,,,
super_1472_5_laser_EC1flow_laserabl017.nd2,LinearDiffusivityPDE,vanilla,749.000000,91.000000,0.004151,0.805686,,98.025557,-0.001017,,,,,,,
super_1472_5_laser_EC1flow_laserabl018.nd2,LinearDiffusivityPDE,vanilla,707.000000,89.000000,0.002574,0.945576,,74.016792,-0.001251,,,,,,,
1133_3_laser@30sec006.nd2,LogisticDiffusionPDE,vanilla,1109.000000,124.000000,0.032613,0.802063,,955.812624,,0.249023,,,0.255993,,,
1133_3_laser@30sec007.nd2,LogisticDiffusionPDE,vanilla,1084.000000,168.000000,0.006986,0.773639,,345.532309,,0.342470,,,0.476945,,,
1133_3_laser@30sec008.nd2,LogisticDiffusionPDE,vanilla,1105.000000,105.000000,0.030551,0.499507,,193.527473,,1.213009,,,0.373968,,,
1472_4_laser@30sec001.nd2,LogisticDiffusionPDE,vanilla,1113.000000,385.000000,0.046109,0.474469,,148.763170,,0.010001,,,0.452090,,,
1472_4_laser@30sec002.nd2,LogisticDiffusionPDE,vanilla,1094.000000,127.000000,0.065794,0.379223,,1999.999881,,0.010155,,,0.406783,,,
1472_4_laser@30sec003.nd2,LogisticDiffusionPDE,vanilla,1090.000000,202.000000,0.118914,0.099661,,1999.999965,,0.342610,,,0.471682,,,
1472_4_laser@30sec004.nd2,LogisticDiffusionPDE,vanilla,1085.000000,113.000000,0.045842,0.526019,,1067.646463,,0.010000,,,0.502365,,,
super_1472_5_laser_EC1flow_laserabl010.nd2,LogisticDiffusionPDE,vanilla,716.000000,183.000000,0.045110,0.423469,,200.523302,,0.029071,,,0.999846,,,
super_1472_5_laser_EC1flow_laserabl017.nd2,LogisticDiffusionPDE,vanilla,749.000000,255.000000,0.002366,0.889226,,52.441403,,0.178489,,,0.359814,,,
super_1472_5_laser_EC1flow_laserabl018.nd2,LogisticDiffusionPDE,vanilla,707.000000,399.000000,0.001696,0.964135,,22.349902,,0.102793,,,0.327935,,,
1133_3_laser@30sec006.nd2,SigmoidDiffusivityPDE,vanilla,1109.000000,239.000000,0.038692,0.765172,,9.999989,0.002058,,0.222406,1234.288684,,,,
1133_3_laser@30sec007.nd2,SigmoidDiffusivityPDE,vanilla,1084.000000,237.000000,0.009230,0.700943,,-2.533504,0.000839,,-2.156385,1686.184761,,,,
1133_3_laser@30sec008.nd2,SigmoidDiffusivityPDE,vanilla,1105.000000,124.000000,0.164743,-1.698841,,2.561862,0.004026,,2.197172,1948.397265,,,,
1472_4_laser@30sec001.nd2,SigmoidDiffusivityPDE,vanilla,1113.000000,241.000000,0.043195,0.507678,,-7.696727,-0.000254,,-2.197100,738.552173,,,,
1472_4_laser@30sec002.nd2,SigmoidDiffusivityPDE,vanilla,1094.000000,108.000000,0.069477,0.344482,,-4.395303,0.000012,,-2.197007,370.056145,,,,
